"","V1","V2","V3"
"86",-1.01723596747677,-3.74121075959158,-0.48665082824866
"87",-1.33091348094813,-2.57994875153336,-0.415536147353057
"88",-1.51794934664293,-1.58124364187422,-0.553176473125504
"89",-0.676563864705088,-2.41687821643407,-0.910210345923937
"90",-0.974962718456325,-3.14793083391845,-0.544981178337086
"91",-4.07861478235813,-0.654531874962101,-0.769199595837021
"92",-1.54942160275117,-1.25417732137779,-0.688520387707768
"93",-1.05666967585675,-2.13426197844657,-0.627253515928587
"94",-1.93739208941834,-0.30268381474673,-2.14482840865405
"95",-2.93967152904914,-1.09975226886505,-0.487494348580452
"96",-0.970145597949541,-3.19014133836953,-0.545061542704063
"97",-3.44924139455675,-0.757311014882171,-0.694538939141304
"98",-3.70167026151619,-0.396699707729708,-1.19474292714023
"99",-3.82276180496127,-0.247018067492184,-1.6245206093111
"100",-1.03060113159829,-3.31808618158535,-0.49925038418056
"101",-3.67664411604464,-0.221953955908693,-1.75019537896251
"102",-2.86680000669781,-0.128250994177479,-2.75692361765574
"103",-3.22866903530795,-0.511398661496685,-1.01961570767737
"104",-0.876929767390482,-4.17883862624207,-0.564533469114609
"105",-1.85677741658895,-0.830864989390929,-0.896114103451916
"106",-0.841656658064595,-3.24628416056342,-0.634716914475533
"107",-1.50827146969355,-1.53030068209927,-0.575831323286082
"108",-0.938421990621731,-3.50433876209175,-0.546990742854058
"109",-1.39783750812186,-1.80723714460713,-0.529732775419224
"110",-1.14565383150597,-2.67505002564305,-0.489258707899998
"111",-0.872838517355798,-3.43125420992598,-0.59803771254222
"112",-3.28307420079031,-0.451796345836918,-1.12084727409338
"113",-2.73592810516845,-0.765626158308694,-0.754759759359321
"114",-3.661309954497,-0.107165999763361,-2.57801396604752
"115",-0.84147032477227,-3.22599501679907,-0.636374634352936
"116",-1.5984339316361,-0.638371744174776,-1.31068475061855
"117",-1.46791401379853,-0.970186390925391,-0.940117329742145
"118",-1.34831395470914,-0.340586529719982,-3.54151831533997
"119",-1.24397550862489,-2.03060148908903,-0.543852730782449
"120",-0.8282191312784,-3.25691155573684,-0.644992773581162
"121",-2.05082639101143,-0.861439317662164,-0.801137858583725
"122",-1.59784261233072,-1.22859480274089,-0.683268441099675
"123",-2.93638344582621,-0.173577979653431,-2.24157336061802
"124",-3.13658264268291,-0.326444064447257,-1.44781108142277
"125",-0.931112370446387,-3.37361467557417,-0.559281926668833
"126",-1.00314290021693,-4.16001867227317,-0.481804691574402
"127",-4.17002583438276,-0.207402808732842,-1.76109885935642
"128",-1.58874944860043,-2.01748276235855,-0.411237639804256
"129",-2.75001890589342,-0.422580193939129,-1.27039879247072
"130",-0.718696652164835,-3.36091564810177,-0.738333989733349
"131",-1.47121743987675,-0.393328019625033,-2.34813801360788
"132",-1.43628118998823,-1.41513054884042,-0.655281982239237
"133",-1.36221389869493,-2.21397609516476,-0.4546950360988
"134",-1.38848402239839,-1.09395984570663,-0.877889932553818
"135",-1.02660204915305,-3.66657431024641,-0.484160989588914
"136",-2.50704926961046,-0.84147780987366,-0.718631982138565
"137",-1.64030914181236,-1.10913675638951,-0.741841030720861
"138",-1.52100286634144,-1.37745808286376,-0.636221658263322
"139",-1.43301550606868,-1.68422729924991,-0.551953484638379
"140",-1.25127176200166,-0.945905231616879,-1.12229619407343
"141",-2.76162036404883,-0.328380647100565,-1.52914060712145
"142",-4.38506548733932,-0.339109748066542,-1.29049823325571
"143",-0.992647684586564,-1.96130876448131,-0.715941744698429
"144",-1.44509679945743,-1.29615917052579,-0.711930103415939
"145",-3.40548670092822,-0.104240455446754,-2.72112451616485
"146",-0.884875059191342,-1.93347503357961,-0.815112395119856
"147",-4.4289221909596,-0.485502373708229,-0.987022531838217
"148",-0.608530323447102,-1.310390681992,-1.68128128561512
"149",-1.18332333171288,-1.43950191144249,-0.783739602215335
"150",-2.20557438438443,-0.377044034559728,-1.58999362313907
"151",-1.09861228866811,-1.09861228866811,-1.09861228866811
"152",-1.09861228866811,-1.09861228866811,-1.09861228866811
"153",-1.09861228866811,-1.09861228866811,-1.09861228866811
"154",-1.09861228866811,-1.09861228866811,-1.09861228866811
"155",-1.09861228866811,-1.09861228866811,-1.09861228866811
"156",-1.09861228866811,-1.09861228866811,-1.09861228866811
"157",-1.09861228866811,-1.09861228866811,-1.09861228866811
"158",-1.09861228866811,-1.09861228866811,-1.09861228866811
"159",-1.09861228866811,-1.09861228866811,-1.09861228866811
"160",-1.09861228866811,-1.09861228866811,-1.09861228866811
"161",-1.09861228866811,-1.09861228866811,-1.09861228866811
"162",-1.09861228866811,-1.09861228866811,-1.09861228866811
"163",-1.09861228866811,-1.09861228866811,-1.09861228866811
"164",-1.09861228866811,-1.09861228866811,-1.09861228866811
"165",-1.09861228866811,-1.09861228866811,-1.09861228866811
"166",-1.09861228866811,-1.09861228866811,-1.09861228866811
"167",-1.09861228866811,-1.09861228866811,-1.09861228866811
"168",-1.09861228866811,-1.09861228866811,-1.09861228866811
"169",-1.09861228866811,-1.09861228866811,-1.09861228866811
"170",-1.09861228866811,-1.09861228866811,-1.09861228866811
"171",-1.09861228866811,-1.09861228866811,-1.09861228866811
"172",-1.09861228866811,-1.09861228866811,-1.09861228866811
"173",-1.09861228866811,-1.09861228866811,-1.09861228866811
"174",-1.09861228866811,-1.09861228866811,-1.09861228866811
"175",-1.09861228866811,-1.09861228866811,-1.09861228866811
"176",-1.09861228866811,-1.09861228866811,-1.09861228866811
"177",-1.09861228866811,-1.09861228866811,-1.09861228866811
"178",-1.09861228866811,-1.09861228866811,-1.09861228866811
"179",-1.09861228866811,-1.09861228866811,-1.09861228866811
"180",-1.09861228866811,-1.09861228866811,-1.09861228866811
"181",-1.09861228866811,-1.09861228866811,-1.09861228866811
"182",-1.09861228866811,-1.09861228866811,-1.09861228866811
"183",-1.09861228866811,-1.09861228866811,-1.09861228866811
"184",-1.09861228866811,-1.09861228866811,-1.09861228866811
"185",-1.09861228866811,-1.09861228866811,-1.09861228866811
"186",-1.09861228866811,-1.09861228866811,-1.09861228866811
"187",-1.09861228866811,-1.09861228866811,-1.09861228866811
"188",-1.09861228866811,-1.09861228866811,-1.09861228866811
"189",-1.09861228866811,-1.09861228866811,-1.09861228866811
"190",-1.09861228866811,-1.09861228866811,-1.09861228866811
"191",-1.09861228866811,-1.09861228866811,-1.09861228866811
"192",-1.09861228866811,-1.09861228866811,-1.09861228866811
"193",-1.09861228866811,-1.09861228866811,-1.09861228866811
"194",-1.09861228866811,-1.09861228866811,-1.09861228866811
"195",-1.09861228866811,-1.09861228866811,-1.09861228866811
"196",-1.09861228866811,-1.09861228866811,-1.09861228866811
"197",-1.09861228866811,-1.09861228866811,-1.09861228866811
"198",-1.09861228866811,-1.09861228866811,-1.09861228866811
"199",-1.09861228866811,-1.09861228866811,-1.09861228866811
"200",-1.09861228866811,-1.09861228866811,-1.09861228866811
"201",-1.09861228866811,-1.09861228866811,-1.09861228866811
"202",-1.09861228866811,-1.09861228866811,-1.09861228866811
"203",-1.09861228866811,-1.09861228866811,-1.09861228866811
